Wavelength (nm),Absorbance
190.0,3.565
190.5,3.707
191.0,3.820
191.5,3.764
192.0,3.811
192.5,3.808
193.0,3.745
193.5,3.724
194.0,3.738
194.5,4.043
195.0,3.984
195.5,3.973
196.0,3.829
196.5,3.894
197.0,3.974
197.5,4.089
198.0,4.155
198.5,4.132
199.0,4.114
199.5,4.061
200.0,4.135
200.5,4.067
201.0,4.123
201.5,4.134
202.0,4.280
202.5,4.238
203.0,4.201
203.5,4.173
204.0,4.142
204.5,4.157
205.0,4.136
205.5,4.233
206.0,4.293
206.5,4.329
207.0,4.321
207.5,4.352
208.0,4.308
208.5,4.299
209.0,4.240
209.5,4.249
210.0,4.218
210.5,4.216
211.0,4.255
211.5,4.296
212.0,4.305
212.5,4.273
213.0,4.287
213.5,4.306
214.0,4.335
214.5,4.345
215.0,4.343
215.5,4.351
216.0,4.349
216.5,4.368
217.0,4.314
217.5,4.294
218.0,4.273
218.5,4.313
219.0,4.325
219.5,4.332
220.0,4.351
220.5,4.379
221.0,4.388
221.5,4.372
222.0,4.359
222.5,4.338
223.0,4.359
223.5,4.350
224.0,4.364
224.5,4.359
225.0,4.387
225.5,4.371
226.0,4.365
226.5,4.339
227.0,4.340
227.5,4.362
228.0,4.364
228.5,4.372
229.0,4.344
229.5,4.362
230.0,4.375
230.5,4.402
231.0,4.390
231.5,4.397
232.0,4.390
232.5,4.391
233.0,4.392
233.5,4.386
234.0,4.379
234.5,4.394
235.0,4.419
235.5,4.460
236.0,4.449
236.5,4.425
237.0,4.390
237.5,4.413
238.0,4.434
238.5,4.436
239.0,4.439
239.5,4.451
240.0,4.481
240.5,4.478
241.0,4.492
241.5,4.499
242.0,4.511
242.5,4.546
243.0,4.565
243.5,4.571
244.0,4.551
244.5,4.553
245.0,4.565
245.5,4.579
246.0,4.581
246.5,4.598
247.0,4.602
247.5,4.626
248.0,4.642
248.5,4.648
249.0,4.658
249.5,4.656
250.0,4.689
250.5,4.708
251.0,4.728
251.5,4.737
252.0,4.741
252.5,4.760
253.0,4.765
253.5,4.784
254.0,4.792
254.5,4.798
255.0,4.815
255.5,4.836
256.0,4.867
256.5,4.881
257.0,4.878
257.5,4.899
258.0,4.904
258.5,4.926
259.0,4.918
259.5,4.946
260.0,4.949
260.5,4.969
261.0,4.983
261.5,5.019
262.0,5.032
262.5,5.046
263.0,5.055
263.5,5.089
264.0,5.094
264.5,5.109
265.0,5.115
265.5,5.138
266.0,5.146
266.5,5.160
267.0,5.172
267.5,5.179
268.0,5.207
268.5,5.217
269.0,5.240
269.5,5.239
270.0,5.249
270.5,5.275
271.0,5.266
271.5,5.281
272.0,5.278
272.5,5.295
273.0,5.315
273.5,5.312
274.0,5.306
274.5,5.289
275.0,5.329
275.5,5.368
276.0,5.397
276.5,5.394
277.0,5.387
277.5,5.385
278.0,5.380
278.5,5.392
279.0,5.363
279.5,5.366
280.0,5.366
280.5,5.408
281.0,5.411
281.5,5.417
282.0,5.399
282.5,5.407
283.0,5.394
283.5,5.424
284.0,5.400
284.5,5.412
285.0,5.418
285.5,5.450
286.0,5.470
286.5,5.453
287.0,5.453
287.5,5.440
288.0,5.466
288.5,5.478
289.0,5.496
289.5,5.492
290.0,5.498
290.5,5.515
291.0,5.487
291.5,5.479
292.0,5.457
292.5,5.500
293.0,5.484
293.5,5.498
294.0,5.476
294.5,5.503
295.0,5.490
295.5,5.518
296.0,5.515
296.5,5.538
297.0,5.513
297.5,5.507
298.0,5.516
298.5,5.544
299.0,5.562
299.5,5.545
300.0,5.534
300.5,5.526
301.0,5.555
301.5,5.574
302.0,5.607
302.5,5.602
303.0,5.623
303.5,5.647
304.0,5.669
304.5,5.664
305.0,5.639
305.5,5.645
306.0,5.648
306.5,5.685
307.0,5.688
307.5,5.699
308.0,5.712
308.5,5.731
309.0,5.765
309.5,5.764
310.0,5.767
310.5,5.760
311.0,5.777
311.5,5.758
312.0,5.781
312.5,5.747
313.0,5.778
313.5,5.777
314.0,5.794
314.5,5.784
315.0,5.792
315.5,5.816
316.0,5.854
316.5,5.836
317.0,5.831
317.5,5.819
318.0,5.843
318.5,5.861
319.0,5.872
319.5,5.871
320.0,5.864
320.5,5.862
321.0,5.872
321.5,5.902
322.0,5.899
322.5,5.894
323.0,5.866
323.5,5.875
324.0,5.875
324.5,5.888
325.0,5.878
325.5,5.897
326.0,5.886
326.5,5.893
327.0,5.872
327.5,5.860
328.0,5.851
328.5,5.832
329.0,5.843
329.5,5.822
330.0,5.823
330.5,5.809
331.0,5.827
331.5,5.827
332.0,5.828
332.5,5.805
333.0,5.790
333.5,5.756
334.0,5.749
334.5,5.721
335.0,5.736
335.5,5.724
336.0,5.742
336.5,5.734
337.0,5.723
337.5,5.702
338.0,5.702
338.5,5.689
339.0,5.678
339.5,5.648
340.0,5.653
340.5,5.656
341.0,5.644
341.5,5.635
342.0,5.621
342.5,5.643
343.0,5.639
343.5,5.640
344.0,5.614
344.5,5.591
345.0,5.571
345.5,5.556
346.0,5.558
346.5,5.537
347.0,5.531
347.5,5.528
348.0,5.554
348.5,5.567
349.0,5.595
349.5,5.593
350.0,5.569
350.5,5.551
351.0,5.546
351.5,5.566
352.0,5.567
352.5,5.561
353.0,5.576
353.5,5.578
354.0,5.609
354.5,5.619
355.0,5.662
355.5,5.657
356.0,5.672
356.5,5.650
357.0,5.660
357.5,5.667
358.0,5.687
358.5,5.697
359.0,5.719
359.5,5.712
360.0,5.743
360.5,5.734
361.0,5.763
361.5,5.787
362.0,5.801
362.5,5.827
363.0,5.815
363.5,5.833
364.0,5.838
364.5,5.861
365.0,5.892
365.5,5.907
366.0,5.922
366.5,5.929
367.0,5.923
367.5,5.925
368.0,5.934
368.5,5.941
369.0,5.952
369.5,5.952
370.0,5.954
370.5,5.954
371.0,5.935
371.5,5.928
372.0,5.919
372.5,5.914
373.0,5.907
373.5,5.889
374.0,5.882
374.5,5.873
375.0,5.863
375.5,5.847
376.0,5.823
376.5,5.791
377.0,5.750
377.5,5.717
378.0,5.688
378.5,5.646
379.0,5.598
379.5,5.551
380.0,5.512
380.5,5.473
381.0,5.419
381.5,5.360
382.0,5.284
382.5,5.225
383.0,5.145
383.5,5.098
384.0,5.033
384.5,4.981
385.0,4.905
385.5,4.823
386.0,4.745
386.5,4.687
