Wavelength (nm),Absorbance,"Energy, eV",Direct transition,Indirect transition
190.0,5.071,6.526315789473684,1095.2755413185596,5.752820818383018
190.5,5.301,6.509186351706036,1190.6086096844194,5.874112430860827
191.0,5.623,6.492146596858639,1332.6398714508923,6.041964938175008
191.5,6.028,6.4751958224543085,1523.534527562394,6.247597971841223
192.0,5.902,6.458333333333333,1452.9120418402779,6.1739034114029785
192.5,5.972,6.441558441558442,1479.8629618053635,6.20233722180494
193.0,6.129,6.424870466321243,1550.6293323740233,6.275191717237243
193.5,6.923,6.40826873385013,1968.2039308641974,6.66066396423393
194.0,7.264,6.391752577319588,2155.7161805080245,6.8139335718547684
194.5,7.391,6.375321336760925,2220.2943999999998,6.864400920692205
195.0,7.206,6.358974358974359,2099.7261799763314,6.76925174821924
195.5,7.424,6.342710997442455,2217.3067203275755,6.862090530225668
196.0,7.613,6.326530612244898,2319.759100749688,6.940019996442403
196.5,7.911,6.310432569974555,2492.189316333547,7.06553834191484
197.0,8.048,6.2944162436548226,2566.178449081399,7.117405561644918
197.5,8.22,6.2784810126582276,2663.500640025637,7.183948351989359
198.0,8.342,6.262626262626263,2729.3131069890837,7.22792005232683
198.5,8.369,6.246851385390428,2733.187864997557,7.230484025591405
199.0,8.183,6.231155778894473,2599.9339785965,7.140696586376813
199.5,8.147,6.215538847117794,2564.2065363509023,7.116037871418945
200.0,8.071,6.2,2504.02161604,7.073909809998994
200.5,8.1,6.184538653366584,2509.485289270589,7.077765402460675
201.0,8.018,6.169154228855722,2446.7148581074734,7.033084572715245
201.5,8.066,6.153846153846154,2463.824132544379,7.045347619310426
202.0,8.147,6.138613861386139,2501.128840270562,7.071865887353413
202.5,8.058,6.1234567901234565,2434.713373849108,7.024444092938231
203.0,8.139,6.108374384236453,2471.6865337571885,7.050961573665005
203.5,8.196,6.093366093366093,2494.126304211918,7.066910817410143
204.0,8.317,6.078431372549019,2555.7386362552866,7.110155675193772
204.5,8.253,6.06356968215159,2504.265876899349,7.074082314109518
205.0,8.167,6.048780487804878,2440.398556249851,7.0285411177500015
205.5,8.195,6.034063260340632,2445.2182793139987,7.032008846587971
206.0,8.312,6.019417475728155,2503.3409212555375,7.073429016979842
206.5,8.353,6.004842615012106,2515.870142837209,7.08226308203784
207.0,8.518,5.990338164251208,2603.6221097901935,7.143227595638528
207.5,8.354,5.975903614457831,2492.275854994338,7.065599676968737
208.0,8.41,5.961538461538462,2513.6724889053257,7.080715956846346
208.5,8.438,5.947242206235012,2518.316400333547,7.0839840299234895
209.0,8.579,5.9330143540669855,2590.741809061148,7.134376647159909
209.5,8.608,5.918854415274463,2595.85142865215,7.13789176204589
210.0,8.617,5.904761904761905,2588.910081777779,7.13311526146419
210.5,8.674,5.890736342042755,2610.8264606405965,7.1481638922788315
211.0,8.699,5.876777251184834,2613.4676062442445,7.149971000504609
211.5,8.695,5.862884160756501,2598.7338271604935,7.139872392261488
212.0,8.73,5.849056603773585,2607.3548202207194,7.145786461331139
212.5,8.824,5.8352941176470585,2651.2855229918337,7.1756975475641145
213.0,8.847,5.821596244131455,2652.6271965086285,7.176605184335486
213.5,8.953,5.807962529274005,2703.863608277345,7.211011615896217
214.0,9.08,5.794392523364486,2768.136619792122,7.253487720548614
214.5,9.162,5.7808857808857805,2805.235667582767,7.277669649309147
215.0,9.311,5.767441860465116,2883.7599353077335,7.32807281369329
215.5,9.389,5.7540603248259865,2918.6868367332218,7.350161385288842
216.0,9.523,5.7407407407407405,2988.7076601165973,7.393853803942439
216.5,9.649,5.727482678983834,3054.1627905125097,7.4340083649075215
217.0,9.667,5.714285714285714,3051.4576,7.432361670424819
217.5,9.842,5.7011494252873565,3148.4120733814243,7.49070842068213
218.0,9.903,5.6880733944954125,3172.955207440451,7.505264207587103
218.5,10.031,5.675057208237987,3240.6262719834117,7.544965132844236
219.0,10.103,5.662100456621005,3272.3206021225583,7.563345880841495
219.5,10.073,5.649202733485193,3238.1129170230543,7.543501781957525
220.0,10.255,5.636363636363637,3340.9450917355384,7.602690911178035
220.5,10.269,5.62358276643991,3334.8975020408166,7.599248083104764
221.0,10.317,5.610859728506787,3350.9325338629424,7.608366435642051
221.5,10.314,5.598194130925508,3333.881532330866,7.59866924312183
222.0,10.35,5.585585585585585,3342.0898466033595,7.603342081664536
222.5,10.381,5.573033707865169,3347.046313416993,7.606159538252423
223.0,10.35,5.560538116591928,3312.1831526875667,7.586275074549199
223.5,10.343,5.5480984340044746,3292.9214019868973,7.575221587710044
224.0,10.362,5.535714285714286,3290.2925154336735,7.573709225245674
224.5,10.298,5.523385300668151,3235.314130989429,7.541871241693312
225.0,10.223,5.511111111111111,3174.205616007902,7.506003523106614
225.5,10.229,5.498891352549889,3163.855463475597,7.499877308678643
226.0,10.262,5.486725663716814,3170.2281113321324,7.503651028736741
226.5,10.306,5.474613686534217,3183.370840725309,7.51141588872708
227.0,10.218,5.462555066079295,3115.4691319916938,7.471036585722107
227.5,10.207,5.450549450549451,3095.115056102404,7.458804075839387
228.0,10.17,5.43859649122807,3059.25432132964,7.43710469980015
228.5,10.134,5.426695842450766,3024.3549578039633,7.415803103332508
229.0,10.082,5.414847161572053,2980.339864274137,7.388673025853116
229.5,10.058,5.403050108932462,2953.2570756052987,7.371830030300665
230.0,10.04,5.391304347826087,2929.9156930056706,7.357220647239956
230.5,9.961,5.379609544468547,2871.4905480324305,7.320265751490939
231.0,9.901,5.367965367965368,2824.7338321545703,7.290282923743434
231.5,9.898,5.356371490280778,2810.8409926883087,7.281302425445542
232.0,9.876,5.344827586206897,2786.3108304399525,7.265364219457914
232.5,9.829,5.333333333333333,2747.9961884444447,7.24025782229703
233.0,9.749,5.3218884120171674,2691.8550413085527,7.202991748485859
233.5,9.714,5.310492505353319,2661.12820966853,7.182348097732533
234.0,9.73,5.299145299145299,2658.5041098692377,7.1805768403857195
234.5,9.71,5.287846481876333,2636.3079302239944,7.16554180359163
235.0,9.736,5.276595744680851,2639.178570748755,7.167491623309564
235.5,9.685,5.265392781316348,2600.5235886964083,7.141101391735649
236.0,9.744,5.254237288135593,2621.1623124389544,7.1552280282037986
236.5,9.721,5.2431289640591965,2597.783574263506,7.139219611387469
237.0,9.67,5.232067510548523,2559.76222898752,7.112952469052793
237.5,9.545,5.221052631578948,2483.5219792132966,7.059387180798419
238.0,9.484,5.2100840336134455,2441.588927787586,7.029398052094498
238.5,9.491,5.19916142557652,2434.952818244707,7.024616793117383
239.0,9.505,5.188284518828452,2431.9341475114234,7.022438632801602
239.5,9.465,5.177453027139875,2401.4501254788815,7.000328056732693
240.0,9.399,5.166666666666667,2358.2192822499997,6.9686081824134725
240.5,9.392,5.155925155925156,2344.927267195422,6.958767783483586
241.0,9.327,5.145228215767635,2302.9962919095747,6.92744856122835
241.5,9.367,5.134575569358178,2313.1837918873166,6.935096924930326
242.0,9.343,5.12396694214876,2291.8454938597088,6.919047849270582
242.5,9.41,5.11340206185567,2315.2566021468806,6.93665001294298
243.0,9.326,5.102880658436214,2264.7571809446395,6.898511797523879
243.5,9.264,5.092402464065708,2225.5765259304544,6.868479921140101
244.0,9.239,5.081967213114754,2204.5180134641228,6.85217447836577
244.5,9.266,5.071574642126789,2208.3618456864933,6.855159417106711
245.0,9.303,5.061224489795919,2216.9568666122454,6.861819833584342
245.5,9.299,5.05091649694501,2206.03740946155,6.853354835778726
246.0,9.307,5.040650406504065,2200.8608444444453,6.8493308675616875
246.5,9.318,5.0304259634888435,2197.1258579529226,6.8464230900368
247.0,9.26,5.020242914979757,2161.082951040011,6.818170531213821
247.5,9.262,5.01010101010101,2153.2899681975314,6.812015528135235
248.0,9.31,5.0,2166.9025000000006,6.822756041366275
248.5,9.368,4.989939637826962,2185.165566313778,6.837086698818656
249.0,9.391,4.979919678714859,2187.098573016564,6.83859822645045
249.5,9.337,4.969939879759519,2153.361718136071,6.812072273347856
250.0,9.335,4.96,2143.83816256,6.8045279042708025
250.5,9.329,4.950099800399202,2132.5444689319966,6.795548619348121
251.0,9.344,4.940239043824701,2130.892726045618,6.7942323794155
251.5,9.407,4.930417495029821,2151.1449711654523,6.810318448923334
252.0,9.437,4.920634920634921,2156.305044318468,6.814398854340106
252.5,9.473,4.910891089108911,2164.191465313597,6.82062103383033
253.0,9.472,4.901185770750988,2155.190711906138,6.8135182997151595
253.5,9.503,4.891518737672584,2160.7717911900068,6.81792509229183
254.0,9.507,4.881889763779528,2154.085438378077,6.812644566117623
254.5,9.54,4.87229862475442,2160.5511196884363,6.817751013358963
255.0,9.558,4.862745098039215,2160.2154200138402,6.8174861677203875
