Wavelength (nm),Absorbance
389.0,0.393
389.5,0.384
390.0,0.375
390.5,0.367
391.0,0.358
391.5,0.351
392.0,0.342
392.5,0.335
393.0,0.327
393.5,0.321
394.0,0.313
394.5,0.307
395.0,0.300
395.5,0.294
396.0,0.289
396.5,0.283
397.0,0.277
397.5,0.272
398.0,0.267
398.5,0.263
399.0,0.259
399.5,0.254
400.0,0.249
400.5,0.244
401.0,0.240
401.5,0.236
402.0,0.232
402.5,0.228
403.0,0.224
403.5,0.220
404.0,0.217
404.5,0.214
405.0,0.211
405.5,0.207
406.0,0.204
406.5,0.201
407.0,0.198
407.5,0.195
408.0,0.192
408.5,0.190
409.0,0.187
409.5,0.184
410.0,0.181
410.5,0.179
411.0,0.177
411.5,0.175
412.0,0.173
412.5,0.170
413.0,0.169
413.5,0.167
414.0,0.164
414.5,0.163
415.0,0.161
415.5,0.159
416.0,0.157
416.5,0.155
417.0,0.153
417.5,0.151
418.0,0.150
418.5,0.148
419.0,0.147
419.5,0.145
420.0,0.144
420.5,0.142
421.0,0.140
421.5,0.138
422.0,0.137
422.5,0.136
423.0,0.135
423.5,0.133
424.0,0.132
424.5,0.130
425.0,0.129
425.5,0.128
426.0,0.128
426.5,0.126
427.0,0.124
427.5,0.123
428.0,0.122
428.5,0.122
429.0,0.120
429.5,0.119
430.0,0.118
430.5,0.117
431.0,0.116
431.5,0.115
432.0,0.114
432.5,0.113
433.0,0.112
433.5,0.111
434.0,0.110
434.5,0.109
435.0,0.108
435.5,0.107
436.0,0.106
436.5,0.105
437.0,0.104
437.5,0.103
438.0,0.103
438.5,0.102
439.0,0.101
439.5,0.100
440.0,0.099
440.5,0.099
441.0,0.098
441.5,0.097
442.0,0.096
442.5,0.095
443.0,0.095
443.5,0.094
444.0,0.093
444.5,0.093
445.0,0.092
445.5,0.091
446.0,0.090
446.5,0.090
447.0,0.089
447.5,0.088
448.0,0.088
448.5,0.087
449.0,0.086
449.5,0.085
450.0,0.085
450.5,0.084
451.0,0.083
451.5,0.083
452.0,0.082
452.5,0.082
453.0,0.081
453.5,0.081
454.0,0.080
454.5,0.079
455.0,0.078
455.5,0.078
456.0,0.077
456.5,0.077
457.0,0.076
457.5,0.076
458.0,0.075
458.5,0.075
459.0,0.074
459.5,0.074
460.0,0.073
460.5,0.072
461.0,0.072
461.5,0.071
462.0,0.071
462.5,0.071
463.0,0.070
463.5,0.070
464.0,0.069
464.5,0.069
465.0,0.068
465.5,0.068
466.0,0.067
466.5,0.067
467.0,0.066
467.5,0.066
468.0,0.065
468.5,0.065
469.0,0.064
469.5,0.064
470.0,0.063
470.5,0.063
471.0,0.063
471.5,0.062
472.0,0.062
472.5,0.061
473.0,0.061
473.5,0.060
474.0,0.060
474.5,0.060
475.0,0.059
475.5,0.059
476.0,0.059
476.5,0.058
477.0,0.058
477.5,0.057
478.0,0.057
478.5,0.057
479.0,0.056
479.5,0.056
480.0,0.055
480.5,0.055
481.0,0.055
481.5,0.054
482.0,0.054
482.5,0.054
483.0,0.053
483.5,0.053
484.0,0.053
484.5,0.052
485.0,0.052
485.5,0.051
486.0,0.051
486.5,0.051
487.0,0.051
487.5,0.050
488.0,0.050
488.5,0.050
489.0,0.049
489.5,0.049
490.0,0.049
490.5,0.048
491.0,0.048
491.5,0.048
492.0,0.047
492.5,0.047
493.0,0.047
493.5,0.047
494.0,0.047
494.5,0.046
495.0,0.046
495.5,0.046
496.0,0.045
496.5,0.045
497.0,0.045
497.5,0.044
498.0,0.044
498.5,0.044
499.0,0.044
499.5,0.043
500.0,0.043
500.5,0.043
501.0,0.043
501.5,0.042
502.0,0.042
502.5,0.042
503.0,0.042
503.5,0.042
504.0,0.041
504.5,0.041
505.0,0.041
505.5,0.040
506.0,0.040
506.5,0.040
507.0,0.040
507.5,0.040
508.0,0.039
508.5,0.039
509.0,0.039
509.5,0.039
510.0,0.039
510.5,0.039
511.0,0.038
511.5,0.038
512.0,0.038
512.5,0.038
513.0,0.037
513.5,0.037
514.0,0.037
514.5,0.037
515.0,0.037
515.5,0.037
516.0,0.036
516.5,0.036
517.0,0.035
517.5,0.035
518.0,0.035
518.5,0.035
519.0,0.035
519.5,0.035
520.0,0.035
520.5,0.035
521.0,0.034
521.5,0.034
522.0,0.034
522.5,0.034
523.0,0.034
523.5,0.034
524.0,0.034
524.5,0.033
525.0,0.033
525.5,0.033
526.0,0.033
526.5,0.033
527.0,0.032
527.5,0.032
528.0,0.032
528.5,0.032
529.0,0.032
529.5,0.032
530.0,0.032
530.5,0.032
531.0,0.032
531.5,0.031
532.0,0.031
532.5,0.031
533.0,0.031
533.5,0.031
534.0,0.031
534.5,0.031
535.0,0.031
535.5,0.030
536.0,0.030
536.5,0.030
537.0,0.030
537.5,0.030
538.0,0.030
538.5,0.030
539.0,0.029
539.5,0.030
540.0,0.030
540.5,0.029
541.0,0.029
541.5,0.029
542.0,0.029
542.5,0.029
543.0,0.029
543.5,0.029
544.0,0.029
544.5,0.028
545.0,0.028
545.5,0.028
546.0,0.028
546.5,0.028
547.0,0.028
547.5,0.028
548.0,0.028
548.5,0.028
549.0,0.027
549.5,0.027
550.0,0.027
550.5,0.027
551.0,0.027
551.5,0.027
552.0,0.027
552.5,0.027
553.0,0.027
553.5,0.027
554.0,0.027
554.5,0.027
555.0,0.027
555.5,0.027
556.0,0.026
556.5,0.026
557.0,0.026
557.5,0.026
558.0,0.026
558.5,0.026
559.0,0.026
559.5,0.026
560.0,0.026
560.5,0.026
561.0,0.026
561.5,0.025
562.0,0.025
562.5,0.026
563.0,0.026
563.5,0.026
564.0,0.025
564.5,0.025
565.0,0.025
565.5,0.025
566.0,0.025
566.5,0.025
567.0,0.025
567.5,0.025
568.0,0.025
568.5,0.025
569.0,0.025
569.5,0.025
570.0,0.025
570.5,0.025
571.0,0.025
571.5,0.025
572.0,0.025
572.5,0.025
573.0,0.025
573.5,0.024
574.0,0.024
574.5,0.024
575.0,0.024
575.5,0.024
576.0,0.024
576.5,0.024
577.0,0.024
577.5,0.024
578.0,0.024
578.5,0.024
579.0,0.024
579.5,0.024
580.0,0.024
580.5,0.024
581.0,0.024
581.5,0.024
582.0,0.024
582.5,0.023
583.0,0.023
583.5,0.023
584.0,0.023
584.5,0.023
585.0,0.023
585.5,0.023
586.0,0.023
586.5,0.023
587.0,0.023
587.5,0.023
588.0,0.023
588.5,0.023
589.0,0.023
589.5,0.023
590.0,0.023
590.5,0.023
591.0,0.023
591.5,0.023
592.0,0.023
592.5,0.023
593.0,0.023
593.5,0.023
594.0,0.023
594.5,0.023
595.0,0.023
595.5,0.023
596.0,0.023
596.5,0.023
597.0,0.023
597.5,0.022
598.0,0.022
598.5,0.022
599.0,0.022
599.5,0.022
600.0,0.022
600.5,0.022
601.0,0.022
601.5,0.022
602.0,0.022
602.5,0.022
603.0,0.022
603.5,0.022
604.0,0.022
604.5,0.022
605.0,0.022
605.5,0.022
606.0,0.022
606.5,0.022
607.0,0.022
607.5,0.022
608.0,0.022
608.5,0.022
609.0,0.022
609.5,0.022
610.0,0.022
610.5,0.022
611.0,0.022
611.5,0.022
612.0,0.022
612.5,0.022
613.0,0.022
613.5,0.022
614.0,0.022
614.5,0.022
615.0,0.022
615.5,0.022
616.0,0.022
616.5,0.022
617.0,0.022
617.5,0.022
618.0,0.022
618.5,0.022
619.0,0.022
619.5,0.022
620.0,0.022
620.5,0.022
621.0,0.022
621.5,0.022
