Wavelength (nm),Absorbance
389.0,0.484
389.5,0.462
390.0,0.441
390.5,0.419
391.0,0.398
391.5,0.379
392.0,0.361
392.5,0.343
393.0,0.326
393.5,0.310
394.0,0.294
394.5,0.278
395.0,0.264
395.5,0.250
396.0,0.238
396.5,0.224
397.0,0.212
397.5,0.201
398.0,0.190
398.5,0.180
399.0,0.170
399.5,0.160
400.0,0.151
400.5,0.143
401.0,0.134
401.5,0.127
402.0,0.120
402.5,0.113
403.0,0.106
403.5,0.099
404.0,0.093
404.5,0.087
405.0,0.082
405.5,0.077
406.0,0.072
406.5,0.067
407.0,0.063
407.5,0.058
408.0,0.055
408.5,0.051
409.0,0.048
409.5,0.045
410.0,0.041
410.5,0.038
411.0,0.036
411.5,0.033
412.0,0.031
412.5,0.029
413.0,0.027
413.5,0.025
414.0,0.023
414.5,0.021
415.0,0.020
415.5,0.018
416.0,0.017
416.5,0.015
417.0,0.014
417.5,0.013
418.0,0.012
418.5,0.011
419.0,0.010
419.5,0.009
420.0,0.009
420.5,0.008
421.0,0.007
421.5,0.006
422.0,0.006
422.5,0.005
423.0,0.005
423.5,0.004
424.0,0.004
424.5,0.003
425.0,0.003
425.5,0.003
426.0,0.002
426.5,0.002
427.0,0.002
427.5,0.002
428.0,0.001
428.5,0.001
429.0,0.001
429.5,0.001
430.0,0.001
430.5,0.001
431.0,0.001
431.5,0.000
432.0,0.000
432.5,0.000
433.0,0.000
433.5,0.000
434.0,0.000
434.5,0.000
435.0,0.000
435.5,0.000
436.0,0.000
436.5,0.000
437.0,0.000
437.5,0.000
438.0,0.000
438.5,0.000
439.0,0.000
439.5,0.000
440.0,0.000
440.5,0.000
441.0,0.000
441.5,0.000
442.0,0.000
442.5,0.000
443.0,0.000
443.5,0.000
444.0,0.000
444.5,0.000
445.0,0.000
445.5,0.000
446.0,0.000
446.5,0.001
447.0,0.001
447.5,0.001
448.0,0.001
448.5,0.001
449.0,0.001
449.5,0.001
450.0,0.001
450.5,0.001
451.0,0.001
451.5,0.001
452.0,0.001
452.5,0.001
453.0,0.001
453.5,0.001
454.0,0.001
454.5,0.001
455.0,0.001
455.5,0.001
456.0,0.001
456.5,0.001
457.0,0.001
457.5,0.002
458.0,0.002
458.5,0.002
459.0,0.002
459.5,0.002
460.0,0.002
460.5,0.002
461.0,0.002
461.5,0.002
462.0,0.002
462.5,0.002
463.0,0.002
463.5,0.002
464.0,0.002
464.5,0.002
465.0,0.002
465.5,0.002
466.0,0.002
466.5,0.002
467.0,0.002
467.5,0.002
