Wavelength (nm),Absorbance,"Energy, eV",Direct transition,Indirect transition
190.0,6.814,6.526315789473684,1977.6089864155122,6.6686067352539
190.5,7.167,6.509186351706036,2176.347391555583,6.830178517628743
191.0,7.181,6.492146596858639,2173.43416336175,6.827891674011963
191.5,7.419,6.4751958224543085,2307.791427948926,6.931051710006823
192.0,8.072,6.458333333333333,2717.7106694444437,7.220226219909364
192.5,8.636,6.441558441558442,3094.6188739983136,7.45850512511044
193.0,9.16,6.424870466321243,3463.5359488845334,7.671493561980131
193.5,8.402,6.40826873385013,2898.990458917399,7.337729478647246
194.0,8.786,6.391752577319588,3153.714016622383,7.493860029672952
194.5,8.54,6.375321336760925,2964.2846177331626,7.378702068517084
195.0,8.641,6.358974358974359,3019.2714326259033,7.412684900621193
195.5,8.678,6.342710997442455,3029.626831807747,7.419032688686958
196.0,8.554,6.326530612244898,2928.6651510204083,7.356435472234012
196.5,8.847,6.310432569974555,3116.8099056232154,7.471840265059531
197.0,8.804,6.2944162436548226,3070.937556793527,7.444195094779358
197.5,8.982,6.2784810126582276,3180.2061408722952,7.509548352310956
198.0,9.158,6.262626262626263,3289.3816714212835,7.573185017753845
198.5,9.217,6.246851385390428,3315.1373245538016,7.587966079203542
199.0,9.359,6.231155778894473,3400.9176188884126,7.636582150063821
199.5,9.122,6.215538847117794,3214.6796876502026,7.529817086982161
200.0,9.369,6.2,3374.1925088400003,7.621535278406839
200.5,9.272,6.184538653366584,3288.2245110017975,7.572518893605678
201.0,9.369,6.169154228855722,3340.701971574961,7.602552595684508
201.5,9.132,6.153846153846154,3158.0941633136094,7.496460703353488
202.0,9.321,6.138613861386139,3273.901790059798,7.564259369031459
202.5,9.57,6.1234567901234565,3434.1336318244166,7.655160447794773
203.0,9.759,6.108374384236453,3553.5459085539565,7.720856533815632
203.5,9.689,6.093366093366093,3485.5591330970906,7.683659549890539
204.0,9.583,6.078431372549019,3393.0168138792774,7.632143070143356
204.5,9.522,6.06356968215159,3333.5970253262485,7.59850712399794
205.0,9.492,6.048780487804878,3296.485025732303,7.577270246615459
205.5,9.427,6.034063260340632,3235.6886987503026,7.5420895218255755
206.0,9.584,6.019417475728155,3328.147301951173,7.59539973190211
206.5,9.595,6.004842615012106,3319.657026540579,7.590551026838642
207.0,9.751,5.990338164251208,3411.9369118905925,7.642760459389888
207.5,9.638,5.975903614457831,3317.27145894963,7.589186981234853
208.0,9.709,5.961538461538462,3350.1611849482247,7.607928556649104
