Wavelength (nm),Absorbance
389.0,1.249
389.5,1.196
390.0,1.146
390.5,1.096
391.0,1.050
391.5,1.005
392.0,0.963
392.5,0.920
393.0,0.878
393.5,0.837
394.0,0.799
394.5,0.764
395.0,0.729
395.5,0.696
396.0,0.664
396.5,0.635
397.0,0.607
397.5,0.579
398.0,0.553
398.5,0.526
399.0,0.502
399.5,0.479
400.0,0.457
400.5,0.435
401.0,0.414
401.5,0.395
402.0,0.375
402.5,0.358
403.0,0.341
403.5,0.323
404.0,0.306
404.5,0.290
405.0,0.276
405.5,0.263
406.0,0.251
406.5,0.238
407.0,0.225
407.5,0.215
408.0,0.204
408.5,0.194
409.0,0.184
409.5,0.174
410.0,0.165
410.5,0.156
411.0,0.147
411.5,0.138
412.0,0.131
412.5,0.124
413.0,0.118
413.5,0.111
414.0,0.106
414.5,0.100
415.0,0.095
415.5,0.090
416.0,0.085
416.5,0.080
417.0,0.075
417.5,0.071
418.0,0.067
418.5,0.063
419.0,0.060
419.5,0.056
420.0,0.053
420.5,0.050
421.0,0.047
421.5,0.045
422.0,0.042
422.5,0.039
423.0,0.036
423.5,0.034
424.0,0.032
424.5,0.030
425.0,0.028
425.5,0.027
426.0,0.025
426.5,0.023
427.0,0.022
427.5,0.020
428.0,0.019
428.5,0.018
429.0,0.016
429.5,0.015
430.0,0.014
430.5,0.013
431.0,0.012
431.5,0.011
432.0,0.011
432.5,0.010
433.0,0.009
433.5,0.008
434.0,0.008
434.5,0.007
435.0,0.006
435.5,0.006
436.0,0.005
436.5,0.005
437.0,0.005
437.5,0.004
438.0,0.004
438.5,0.003
439.0,0.003
439.5,0.003
440.0,0.002
440.5,0.002
441.0,0.002
441.5,0.002
442.0,0.001
442.5,0.001
443.0,0.001
443.5,0.001
444.0,0.001
444.5,0.001
445.0,0.001
445.5,0.001
446.0,0.000
446.5,0.000
447.0,0.000
447.5,0.000
448.0,0.000
448.5,0.000
449.0,0.000
449.5,0.000
450.0,0.000
450.5,0.000
451.0,0.000
451.5,0.000
452.0,0.000
452.5,0.000
453.0,0.000
453.5,0.000
454.0,0.000
454.5,0.000
455.0,0.000
455.5,0.000
456.0,0.000
456.5,0.000
457.0,0.000
457.5,0.000
458.0,0.000
458.5,0.000
459.0,0.000
459.5,0.000
460.0,0.000
460.5,0.000
461.0,0.000
461.5,0.000
462.0,0.001
462.5,0.001
463.0,0.001
463.5,0.001
464.0,0.001
464.5,0.001
465.0,0.001
465.5,0.001
466.0,0.001
466.5,0.001
467.0,0.001
467.5,0.001
468.0,0.001
468.5,0.001
469.0,0.001
469.5,0.001
470.0,0.001
470.5,0.001
471.0,0.001
471.5,0.001
472.0,0.001
472.5,0.001
473.0,0.001
473.5,0.001
474.0,0.001
474.5,0.001
475.0,0.001
475.5,0.001
476.0,0.001
476.5,0.001
477.0,0.001
477.5,0.002
478.0,0.002
478.5,0.002
479.0,0.002
479.5,0.002
480.0,0.002
480.5,0.002
481.0,0.002
481.5,0.002
482.0,0.002
482.5,0.002
483.0,0.002
483.5,0.002
484.0,0.002
484.5,0.002
485.0,0.002
485.5,0.002
486.0,0.002
486.5,0.002
487.0,0.002
487.5,0.002
488.0,0.002
488.5,0.002
489.0,0.002
489.5,0.002
490.0,0.002
490.5,0.002
491.0,0.002
491.5,0.002
492.0,0.002
492.5,0.002
493.0,0.002
493.5,0.002
494.0,0.002
494.5,0.002
495.0,0.002
495.5,0.002
496.0,0.002
496.5,0.002
497.0,0.002
497.5,0.002
498.0,0.002
498.5,0.002
499.0,0.002
499.5,0.002
500.0,0.002
500.5,0.002
501.0,0.002
501.5,0.002
502.0,0.002
502.5,0.002
503.0,0.002
503.5,0.002
504.0,0.002
504.5,0.002
505.0,0.002
505.5,0.002
506.0,0.002
506.5,0.002
507.0,0.002
507.5,0.002
508.0,0.002
508.5,0.002
509.0,0.002
509.5,0.002
510.0,0.002
510.5,0.002
511.0,0.002
511.5,0.002
512.0,0.002
512.5,0.002
513.0,0.002
513.5,0.002
514.0,0.002
514.5,0.002
515.0,0.002
515.5,0.002
516.0,0.002
516.5,0.002
517.0,0.002
517.5,0.002
518.0,0.002
518.5,0.002
519.0,0.002
519.5,0.002
520.0,0.002
520.5,0.002
521.0,0.002
521.5,0.002
522.0,0.002
522.5,0.002
523.0,0.002
523.5,0.002
524.0,0.002
524.5,0.002
525.0,0.002
525.5,0.002
526.0,0.002
526.5,0.002
527.0,0.002
527.5,0.002
528.0,0.002
528.5,0.002
529.0,0.002
529.5,0.002
530.0,0.002
530.5,0.002
531.0,0.002
531.5,0.002
532.0,0.002
532.5,0.002
533.0,0.002
533.5,0.002
534.0,0.002
534.5,0.002
535.0,0.002
535.5,0.002
536.0,0.002
536.5,0.002
537.0,0.002
537.5,0.002
538.0,0.002
538.5,0.002
539.0,0.002
539.5,0.002
540.0,0.002
540.5,0.002
541.0,0.002
541.5,0.002
542.0,0.002
542.5,0.002
543.0,0.002
543.5,0.002
544.0,0.002
544.5,0.002
545.0,0.002
545.5,0.002
546.0,0.002
546.5,0.002
547.0,0.002
547.5,0.002
548.0,0.002
548.5,0.002
549.0,0.002
549.5,0.002
550.0,0.002
550.5,0.002
551.0,0.002
551.5,0.002
552.0,0.002
552.5,0.002
553.0,0.002
553.5,0.002
554.0,0.002
554.5,0.002
555.0,0.002
555.5,0.002
556.0,0.002
556.5,0.002
557.0,0.002
557.5,0.002
558.0,0.002
558.5,0.002
559.0,0.002
559.5,0.002
560.0,0.002
560.5,0.002
561.0,0.002
561.5,0.002
562.0,0.002
562.5,0.002
563.0,0.002
563.5,0.002
564.0,0.002
564.5,0.002
565.0,0.002
565.5,0.002
566.0,0.002
566.5,0.002
567.0,0.002
567.5,0.002
568.0,0.002
568.5,0.002
569.0,0.002
569.5,0.002
570.0,0.002
570.5,0.002
571.0,0.002
571.5,0.002
572.0,0.002
572.5,0.002
573.0,0.002
573.5,0.002
574.0,0.002
574.5,0.002
575.0,0.002
575.5,0.002
576.0,0.002
576.5,0.002
577.0,0.002
577.5,0.002
578.0,0.002
578.5,0.002
